#time(100ms)	MEM_LOAD_MISC_RETIRED:LLC_MISS	CPU_CLK_UNHALTED:THREAD_P
4400	484321	8793692288
4410	485516	8824121754
4420	486932	8850171484
4430	488258	8880963847
4440	489295	8905064712
4450	490368	8928605998
4460	491961	8960092352
4470	493462	9002650093
4480	494826	9029518981
4490	496464	9059688190
4500	498037	9102906031
4510	499377	9128442858
4520	501023	9170265287
4530	501949	9200017575
4540	502907	9222697720
4550	504104	9240001780
4560	504957	9259328461
4570	505855	9281400885
4580	507061	9304376491
4590	508281	9331929050
4600	510114	9369471323
4610	511379	9401252747
4620	512363	9429995940
4630	513861	9461008268
4640	515125	9486780990
4650	516317	9512421000
4660	517269	9537268054
4670	518960	9568822510
4680	521133	9600388570
4690	524209	9645255774
4700	526164	9674722025
4710	529703	9725664456
4720	533215	9781298698
4730	536031	9826887250
4740	536034	9826895511
4750	536042	9826903710
4760	536047	9826911708
4770	536050	9826919469
4780	536975	9845903996
4790	537428	9848135642
4800	537432	9848143247
4810	537844	9851344885
4820	540202	9890088639
4830	541284	9913422481
4840	542768	9954315014
4850	543184	9956795660
4860	543188	9956803489
4870	543489	9961804534
4880	544490	9980460095
4890	545685	10007652858
4900	547314	10036890836
4910	548156	10057886331
4920	548231	10058729926
4930	549103	10080909389
4940	550014	10101478092
4950	550226	10102224367
4960	551884	10122123334
4970	552482	10142642465
4980	552894	10153852551
4990	553440	10164040620
5000	553904	10176663136
5010	555076	10203750447
5020	555422	10205997766
5030	555741	10206712093
5040	555745	10206719008
5050	555750	10206727700
5060	555762	10206736374
5070	555769	10206745315
5080	555774	10206753499
5090	555777	10206761160
5100	555780	10206768911
5110	555783	10206776614
5120	555786	10206784337
5130	555790	10206792576
5140	555794	10206800784
5150	555799	10206809006
5160	555803	10206817052
5170	555808	10206826170
5180	555812	10206834800
5190	555815	10206842415
5200	555818	10206850030
5210	555821	10206857645
5220	555824	10206865260
5230	555827	10206872873
5240	555830	10206880450
5250	555833	10206888052
5260	555837	10206895728
5270	555840	10206903316
5280	555843	10206910877
5290	555846	10206918491
5300	555849	10206926067
5310	555852	10206933703
5320	555855	10206941286
5330	555858	10206948869
5340	555861	10206956481
5350	555864	10206964104
5360	555867	10206971725
5370	555870	10206979356
5380	555874	10206987005
5390	555877	10206994628
5400	556006	10207006558
5410	556009	10207014179
5420	556012	10207021796
5430	556015	10207029407
5440	556018	10207037004
5450	556021	10207044587
5460	556024	10207052170
5470	556028	10207059851
5480	556031	10207067370
5490	557390	10216788980
5500	558268	10248059561
5510	559201	10264079631
5520	561521	10295532967
5530	565371	10349005231
5540	569342	10403537728
5550	573440	10459258446
5560	577248	10510464956
5570	580618	10562243016
5580	584330	10618019065
5590	588487	10672123112
5600	592913	10725026780
5610	596663	10780211307
5620	600720	10834764252
5630	604271	10890332100
5640	607923	10945552274
5650	611827	11001465079
5660	615746	11056255666
5670	619171	11112116678
5680	620924	11141189914
5690	620930	11141197903
5700	620933	11141205626
5710	620937	11141213421
5720	620940	11141221209
5730	620944	11141228930
5740	620947	11141236683
5750	620951	11141244433
5760	620954	11141252108
5770	620959	11141260791
5780	620962	11141268909
5790	620965	11141276605
5800	620968	11141284267
5810	620981	11141293428
5820	621002	11141302196
5830	621025	11141311136
5840	621049	11141319582
5850	623475	11163164760
5860	624976	11198559118
5870	627003	11227766856
5880	630640	11279954748
5890	632685	11316608789
5900	634931	11354919172
5910	638779	11404095619
5920	642485	11457843358
5930	644766	11506102663
5940	646374	11530290399
5950	648002	11560620576
5960	651452	11608117826
5970	655763	11662070874
5980	660007	11715841726
5990	661577	11750611304
6000	661584	11750620183
6010	661590	11750628416
6020	661593	11750636010
6030	662152	11755141663
